year_film,release_date,year_ceremony,film,winner,Genre,Runtime,Meta_score,Nominated_Both_Director_and_Picture,Golden_Globe_Picture_Winner,pga_winner
2001.0,2001-12-26,2002,Gosford Park,False,"Comedy, Drama, Mystery",137 min,90.0,True,False,False
2001.0,2001-11-23,2002,In the Bedroom,False,"Crime, Drama",131 min,86.0,False,False,False
2001.0,2001-05-18,2002,Moulin Rouge,False,"Drama, Musical, Romance",127 min,66.0,False,True,False
2001.0,2001-12-19,2002,The Lord of the Rings: The Fellowship of the Ring,False,"Action, Adventure, Drama",178 min,92.0,True,False,False
2000.0,2000-12-22,2001,Chocolat,False,"Drama, Romance",121 min,64.0,False,False,False
2000.0,2000-12-08,2001,"Crouching Tiger, Hidden Dragon",False,"Action, Adventure, Drama, Fantasy, Romance",120 min,94.0,True,False,False
2000.0,2000-03-17,2001,Erin Brockovich,False,"Biography, Drama",131 min,73.0,True,False,False
2000.0,2000-05-05,2001,Gladiator,True,"Action, Adventure, Drama",155 min,67.0,True,True,True
2000.0,2000-12-27,2001,Traffic,False,"Crime, Drama, Thriller",147 min,86.0,True,False,False
1999.0,1999-09-15,2000,American Beauty,True,Drama,122 min,84.0,True,True,True
1999.0,1999-12-17,2000,The Cider House Rules,False,"Drama, Romance",126 min,75.0,True,False,False
1999.0,1999-12-10,2000,The Green Mile,False,"Crime, Drama, Fantasy",189 min,61.0,False,False,False
1999.0,1999-10-28,2000,The Insider,False,"Biography, Drama, Thriller",157 min,84.0,True,False,False
1999.0,1999-08-06,2000,The Sixth Sense,False,"Drama, Mystery, Thriller",107 min,64.0,True,False,False
1998.0,1998-09-13,1999,Elizabeth,False,"Biography, Drama, History",124 min,75.0,False,False,False
1998.0,1998-10-22,1999,Life Is Beautiful,False,"Comedy, Drama, Romance, War",116 min,58.0,True,False,False
1998.0,1998-07-24,1999,Saving Private Ryan,False,"Drama, War",169 min,91.0,True,True,True
1998.0,1998-12-11,1999,Shakespeare in Love,True,"Comedy, Drama, History, Romance",123 min,87.0,True,True,False
1998.0,1998-12-23,1999,The Thin Red Line,False,"Drama, War",170 min,78.0,True,False,False
1997.0,1997-12-19,1998,As Good as It Gets,False,"Comedy, Drama, Romance",139 min,67.0,False,True,False
1997.0,1997-12-05,1998,Good Will Hunting,False,"Drama, Romance",126 min,70.0,True,False,False
1997.0,1997-09-19,1998,L.A. Confidential,False,"Crime, Drama, Mystery",138 min,90.0,True,False,False
1997.0,1997-08-13,1998,The Full Monty,False,"Comedy, Drama",91 min,75.0,True,False,False
1997.0,1997-12-19,1998,Titanic,True,"Drama, Romance",194 min,75.0,True,True,True
1996.0,1996-03-08,1997,Fargo,False,"Crime, Drama, Thriller",98 min,85.0,True,False,False
1996.0,1996-12-13,1997,Jerry Maguire,False,"Comedy, Drama, Romance, War",139 min,77.0,False,False,False
1996.0,1996-05-24,1997,Secrets & Lies,False,"Comedy, Drama",136 min,91.0,True,False,False
1996.0,1996-11-22,1997,Shine,False,"Biography, Drama, Music",105 min,87.0,True,False,False
1996.0,1996-11-14,1997,The English Patient,True,"Drama, Romance, War",162 min,86.0,True,True,True
1995.0,1995-06-30,1996,Apollo 13,False,"Adventure, Drama, History",140 min,77.0,False,False,True
1995.0,1995-08-03,1996,Babe,False,"Comedy, Drama, Family",91 min,83.0,True,True,False
1995.0,1995-05-24,1996,Braveheart,True,"Biography, Drama, History",178 min,68.0,True,False,False
1995.0,1995-12-13,1996,Sense and Sensibility,False,"Drama, Romance",136 min,84.0,False,True,False
1995.0,1995-10-20,1996,The Postman (Il Postino),False,"Action, Adventure, Drama, Sci-Fi",177 min,29.0,True,False,False
1994.0,1994-07-06,1995,Forrest Gump,True,"Drama, Romance",142 min,82.0,True,True,True
1994.0,1994-03-09,1995,Four Weddings and a Funeral,False,"Comedy, Drama, Romance",117 min,81.0,False,False,False
1994.0,1994-10-14,1995,Pulp Fiction,False,"Crime, Drama",154 min,94.0,True,False,False
1994.0,1994-09-16,1995,Quiz Show,False,"Biography, Drama, History",133 min,92.0,True,False,False
1994.0,1994-09-23,1995,The Shawshank Redemption,False,Drama,142 min,80.0,False,False,False
1993.0,1993-12-12,1994,In the Name of the Father,False,"Biography, Crime, Drama",133 min,84.0,True,False,False
1993.0,1993-12-15,1994,Schindler's List,True,"Biography, Drama, History",195 min,94.0,True,True,True
1993.0,1993-08-06,1994,The Fugitive,False,"Action, Crime, Drama",130 min,87.0,False,False,False
1993.0,1993-11-12,1994,The Piano,False,"Drama, Music, Romance",121 min,89.0,True,False,False
1993.0,1993-11-19,1994,The Remains of the Day,False,"Drama, Romance",134 min,84.0,True,False,False
1992.0,1992-12-11,1993,A Few Good Men,False,"Drama, Thriller",138 min,62.0,False,False,False
1992.0,1992-03-13,1993,Howards End,False,"Drama, Romance",142 min,88.0,True,False,False
1992.0,1992-12-23,1993,Scent of a Woman,False,Drama,156 min,59.0,True,True,False
1992.0,1992-11-27,1993,The Crying Game,False,"Crime, Drama, Romance, Thriller",112 min,90.0,True,False,True
1992.0,1992-08-07,1993,Unforgiven,True,"Drama, Western",130 min,85.0,True,False,False
1991.0,1991-11-22,1992,Beauty and the Beast,False,"Animation, Family, Fantasy",84 min,95.0,False,True,False
1991.0,1991-12-10,1992,Bugsy,False,"Biography, Crime, Drama",136 min,80.0,True,True,False
1991.0,1991-12-20,1992,JFK,False,"Drama, History, Thriller",189 min,72.0,True,False,False
1991.0,1991-12-25,1992,The Prince of Tides,False,"Drama, Romance",132 min,65.0,False,False,False
1991.0,1991-02-14,1992,The Silence of the Lambs,True,"Crime, Drama, Thriller",118 min,85.0,True,False,True
1990.0,1990-12-19,1991,Awakenings,False,"Biography, Drama",121 min,74.0,False,False,False
1990.0,1990-11-09,1991,Dances With Wolves,True,"Adventure, Drama, Western",181 min,72.0,True,True,True
1990.0,1990-07-13,1991,Ghost,False,"Drama, Fantasy, Romance, Thriller",126 min,52.0,False,False,False
1990.0,1990-10-26,1991,GoodFellas,False,"Biography, Crime, Drama",145 min,92.0,False,False,False
1990.0,1991-03-08,1991,"The Godfather, Part III",False,"Crime,Drama",162 min,60.0,True,False,False
